file_path,class_name,file_npm,extract_npm,file_loc,extract_loc,extract_loc_with_c,lo_comment
org.apache.tools.ant.taskdefs.optional.extension.ExtensionSet,ExtensionSet,7,6,122,59,125,66
org.apache.tools.ant.taskdefs.condition.Or,Or,2,1,23,25,58,33
org.apache.tools.bzip2.BZip2Constants,BZip2Constants,0,0,2064,72,109,37
org.apache.tools.ant.util.GlobPatternMapper,GlobPatternMapper,6,5,185,81,170,89
org.apache.tools.ant.taskdefs.War,War,7,6,195,116,229,113
org.apache.tools.ant.taskdefs.optional.vss.MSVSSADD,MSVSSADD,6,5,95,56,122,66
org.apache.tools.ant.types.Permissions,Permissions,6,13,341,211,335,124
org.apache.tools.ant.taskdefs.condition.HasFreeSpace,HasFreeSpace,6,5,86,56,88,32
org.apache.tools.ant.taskdefs.email.UUMailer,UUMailer,0,0,58,33,55,22
org.apache.tools.ant.types.resources.selectors.ResourceSelector,ResourceSelector,1,0,1,9,35,26
org.apache.tools.ant.util.ResourceUtils,ResourceUtils,10,10,905,375,572,197
org.apache.tools.ant.AntTypeDefinition,AntTypeDefinition,18,17,575,219,369,150
org.apache.tools.ant.taskdefs.AntlibDefinition,AntlibDefinition,5,4,48,34,81,47
org.apache.tools.ant.taskdefs.optional.j2ee.WebLogicHotDeploymentTool,WebLogicHotDeploymentTool,7,6,331,141,246,105
org.apache.tools.ant.taskdefs.optional.vss.MSVSSLABEL,MSVSSLABEL,5,4,94,50,108,58
org.apache.tools.ant.types.selectors.ExtendFileSelector,ExtendFileSelector,0,0,0,9,39,30
org.apache.tools.ant.util.optional.JavaxScriptRunner,JavaxScriptRunner,5,4,236,88,131,43
org.apache.tools.ant.taskdefs.optional.perforce.P4Change,P4Change,5,5,94,83,147,64
org.apache.tools.ant.taskdefs.optional.ssh.Scp,Scp,13,12,741,311,410,99
org.apache.tools.ant.taskdefs.optional.javah.SunJavah,SunJavah,2,1,182,91,123,32
org.apache.tools.ant.types.CommandlineJava,CommandlineJava,33,38,559,393,699,306
org.apache.tools.ant.filters.ClassConstants,ClassConstants,4,2,162,90,164,74
org.apache.tools.ant.taskdefs.optional.clearcase.CCLock,CCLock,15,14,263,171,378,207
org.apache.tools.ant.taskdefs.Cvs,Cvs,1,0,4,8,41,33
org.apache.tools.ant.types.Reference,Reference,9,6,103,59,134,75
org.apache.tools.ant.filters.LineContains,LineContains,7,7,212,117,243,126
org.apache.tools.ant.taskdefs.optional.junit.Constants,Constants,1,0,16,18,38,20
org.apache.tools.ant.taskdefs.Available,Available,17,19,783,324,502,178
org.apache.tools.ant.types.selectors.TypeSelector,TypeSelector,6,6,104,72,135,63
org.apache.tools.ant.taskdefs.Sleep,Sleep,9,8,129,92,191,99
org.apache.tools.ant.types.resources.comparators.ResourceComparator,ResourceComparator,4,3,62,36,81,45
org.apache.tools.ant.types.resources.selectors.Type,Type,4,3,74,52,105,53
org.apache.tools.ant.filters.TabsToSpaces,TabsToSpaces,5,3,126,76,155,79
org.apache.tools.ant.taskdefs.Jikes,Jikes,0,1,182,152,226,74
org.apache.tools.ant.types.ResourceCollection,ResourceCollection,3,0,3,13,50,37
org.apache.tools.ant.util.IdentityStack,IdentityStack,6,4,74,48,102,54
org.apache.tools.ant.UnknownElement,UnknownElement,19,18,900,415,672,257
org.apache.tools.ant.taskdefs.Checksum,Checksum,18,21,1046,454,686,232
org.apache.tools.ant.taskdefs.optional.ejb.WebsphereDeploymentTool,WebsphereDeploymentTool,23,22,1220,604,891,287
org.apache.tools.ant.taskdefs.Basename,Basename,5,4,90,45,109,64
org.apache.tools.ant.taskdefs.optional.javah.Kaffeh,Kaffeh,2,1,111,64,94,30
org.apache.tools.ant.util.ChainedMapper,ChainedMapper,2,1,73,36,60,24
org.apache.tools.ant.taskdefs.optional.ccm.CCMCheckout,CCMCheckout,1,0,7,11,35,24
org.apache.tools.ant.types.resources.BaseResourceCollectionWrapper,BaseResourceCollectionWrapper,8,6,233,133,201,68
org.apache.tools.ant.taskdefs.BUnzip2,BUnzip2,1,0,164,65,109,44
org.apache.tools.ant.util.Base64Converter,Base64Converter,3,2,502,67,108,41
org.apache.tools.ant.taskdefs.optional.ssh.AbstractSshMessage,AbstractSshMessage,4,7,269,175,269,94
org.apache.tools.ant.types.resources.selectors.Majority,Majority,4,2,84,46,84,38
org.apache.tools.ant.taskdefs.FixCRLF,FixCRLF,16,41,457,451,681,230
org.apache.tools.ant.taskdefs.optional.j2ee.HotDeploymentTool,HotDeploymentTool,3,0,8,21,61,40
org.apache.tools.ant.types.resources.Intersect,Intersect,1,0,83,37,63,26
org.apache.tools.ant.taskdefs.Javac,Javac,68,68,1021,572,1023,451
org.apache.tools.ant.types.resources.Touchable,Touchable,1,0,1,5,32,27
org.apache.tools.ant.taskdefs.optional.extension.resolvers.LocationResolver,LocationResolver,4,3,36,28,64,36
org.apache.tools.ant.taskdefs.optional.sos.SOSGet,SOSGet,5,4,106,50,116,66
org.apache.tools.ant.types.ArchiveScanner,ArchiveScanner,12,11,344,171,335,164
org.apache.tools.ant.taskdefs.optional.depend.constantpool.Utf8CPInfo,Utf8CPInfo,4,3,27,26,67,41
org.apache.tools.ant.types.resources.JavaResource,JavaResource,11,9,279,132,211,79
org.apache.tools.ant.taskdefs.optional.ejb.IPlanetDeploymentTool,IPlanetDeploymentTool,7,6,450,192,384,192
org.apache.tools.ant.types.selectors.SelectorContainer,SelectorContainer,24,0,24,58,186,128
org.apache.tools.ant.taskdefs.email.MimeMailer,MimeMailer,2,9,379,237,286,49
org.apache.tools.ant.taskdefs.optional.ssh.Directory,Directory,15,13,161,107,193,86
org.apache.tools.ant.types.FilterSetCollection,FilterSetCollection,5,3,69,51,100,49
org.apache.tools.ant.taskdefs.optional.depend.DirectoryIterator,DirectoryIterator,2,1,120,88,164,76
org.apache.tools.ant.taskdefs.condition.IsSigned,IsSigned,5,4,193,87,134,47
org.apache.tools.ant.taskdefs.cvslib.CvsVersion,CvsVersion,7,6,210,96,153,57
org.apache.tools.ant.taskdefs.optional.jlink.ConstantPool,ConstantPool,0,13,115,222,357,135
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckout,CCCheckout,20,19,392,236,516,280
org.apache.tools.ant.taskdefs.XSLTProcess,XSLTProcess,31,53,1254,713,1223,510
org.apache.tools.ant.TypeAdapter,TypeAdapter,5,0,5,15,66,51
org.apache.tools.ant.taskdefs.SQLExec,SQLExec,20,25,881,493,789,296
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckin,CCCheckin,14,13,241,153,343,190
org.apache.tools.ant.util.FileUtils,FileUtils,56,55,1752,715,1531,816
org.apache.tools.ant.PropertyHelper,PropertyHelper,18,17,689,330,629,299
org.apache.tools.ant.taskdefs.optional.dotnet.ImportTypelib,ImportTypelib,8,7,224,121,217,96
org.apache.tools.ant.taskdefs.optional.extension.resolvers.URLResolver,URLResolver,6,5,133,82,132,50
org.apache.tools.ant.taskdefs.optional.native2ascii.KaffeNative2Ascii,KaffeNative2Ascii,1,0,77,51,88,37
org.apache.tools.ant.types.Substitution,Substitution,4,3,33,30,77,47
org.apache.tools.ant.taskdefs.cvslib.CvsUser,CvsUser,6,5,51,44,93,49
org.apache.tools.zip.ExtraFieldUtils,ExtraFieldUtils,6,5,388,110,174,64
org.apache.tools.ant.filters.TailFilter,TailFilter,6,4,328,136,242,106
org.apache.tools.ant.taskdefs.optional.junit.Xalan2Executor,Xalan2Executor,1,0,115,65,96,31
org.apache.tools.ant.taskdefs.Length,Length,14,14,348,241,329,88
org.apache.tools.ant.types.selectors.SelectSelector,SelectSelector,12,11,199,119,211,92
org.apache.tools.ant.listener.AnsiColorLogger,AnsiColorLogger,1,0,251,127,243,116
org.apache.tools.ant.types.Quantifier,Quantifier,5,3,195,84,144,60
org.apache.tools.ant.taskdefs.optional.clearcase.ClearCase,ClearCase,9,8,189,108,241,133
org.apache.tools.ant.taskdefs.optional.clearcase.CCUnlock,CCUnlock,9,8,184,117,260,143
org.apache.tools.ant.taskdefs.ResourceCount,ResourceCount,8,7,133,72,124,52
org.apache.tools.ant.taskdefs.Concat,Concat,20,29,879,634,898,264
org.apache.tools.ant.util.ScriptRunnerCreator,ScriptRunnerCreator,2,1,156,89,138,49
org.apache.tools.ant.types.resources.comparators.Content,Content,3,2,34,29,70,41
org.apache.tools.ant.taskdefs.optional.ssh.SSHUserInfo,SSHUserInfo,20,18,125,106,216,110
org.apache.tools.ant.util.JavaEnvUtils,JavaEnvUtils,11,11,463,261,443,182
org.apache.tools.ant.util.XmlConstants,XmlConstants,1,0,15,25,61,36
org.apache.tools.ant.taskdefs.Unpack,Unpack,8,7,202,109,187,78
org.apache.tools.ant.taskdefs.optional.extension.ExtensionResolver,ExtensionResolver,1,0,1,10,42,32
org.apache.tools.tar.TarUtils,TarUtils,8,7,271,115,199,84
org.apache.tools.zip.UnixStat,UnixStat,0,0,7,15,75,60
org.apache.tools.ant.types.FileList,FileList,10,11,192,119,220,101
org.apache.tools.ant.taskdefs.optional.TraXLiaison,TraXLiaison,15,14,712,376,569,193
org.apache.tools.ant.ExitException,ExitException,3,1,27,20,59,39
org.apache.tools.ant.taskdefs.optional.net.MimeMail,MimeMail,2,1,22,13,43,30
org.apache.tools.ant.launch.Locator,Locator,9,10,968,295,456,161
org.apache.tools.ant.taskdefs.optional.depend.constantpool.IntegerCPInfo,IntegerCPInfo,3,2,25,21,56,35
org.apache.tools.ant.taskdefs.optional.perforce.P4Labelsync,P4Labelsync,9,8,156,71,150,79
org.apache.tools.ant.taskdefs.optional.dotnet.VisualBasicCompile,VisualBasicCompile,19,18,269,176,366,190
org.apache.tools.ant.taskdefs.optional.extension.JarLibAvailableTask,JarLibAvailableTask,6,5,191,90,156,66
org.apache.tools.ant.DynamicElement,DynamicElement,1,0,1,7,36,29
org.apache.tools.ant.taskdefs.email.Header,Header,5,4,24,24,61,37
org.apache.tools.ant.taskdefs.Tstamp,Tstamp,4,13,135,212,340,128
org.apache.tools.ant.taskdefs.optional.sound.SoundTask,SoundTask,5,10,82,108,192,84
org.apache.tools.ant.taskdefs.optional.javacc.JJDoc,JJDoc,7,6,377,161,215,54
org.apache.tools.ant.types.selectors.modifiedselector.Cache,Cache,7,0,7,23,72,49
org.apache.tools.ant.types.TarFileSet,TarFileSet,15,14,274,154,268,114
org.apache.tools.ant.taskdefs.optional.ejb.JonasDeploymentTool,JonasDeploymentTool,16,15,1230,531,823,292
org.apache.tools.tar.TarConstants,TarConstants,0,0,25,57,158,101
org.apache.tools.ant.taskdefs.compilers.Sj,Sj,2,1,44,27,61,34
org.apache.tools.ant.taskdefs.optional.perforce.P4Delete,P4Delete,3,2,55,22,65,43
org.apache.tools.ant.taskdefs.optional.EchoProperties,EchoProperties,9,13,615,344,539,195
org.apache.tools.ant.taskdefs.condition.Http,Http,4,3,105,53,89,36
org.apache.tools.ant.taskdefs.Rename,Rename,5,4,104,55,95,40
org.apache.tools.ant.taskdefs.optional.depend.ClassFileIterator,ClassFileIterator,1,0,1,7,33,26
org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantPoolEntry,ConstantPoolEntry,7,6,124,122,221,99
org.apache.tools.ant.taskdefs.optional.perforce.P4OutputStream,P4OutputStream,3,2,68,44,85,41
org.apache.tools.ant.taskdefs.condition.Matches,Matches,8,7,122,71,128,57
org.apache.tools.ant.taskdefs.Exec,Exec,7,8,359,190,280,90
org.apache.tools.ant.taskdefs.optional.jsp.compilers.JspCompilerAdapter,JspCompilerAdapter,4,0,4,18,64,46
org.apache.tools.ant.util.TaskLogger,TaskLogger,6,5,43,32,79,47
org.apache.tools.ant.taskdefs.optional.junit.BriefJUnitResultFormatter,BriefJUnitResultFormatter,11,10,292,142,249,107
org.apache.tools.ant.taskdefs.condition.FilesMatch,FilesMatch,5,4,70,49,100,51
org.apache.tools.ant.taskdefs.optional.clearcase.CCRmtype,CCRmtype,16,15,285,164,373,209
org.apache.tools.ant.util.PackageNameMapper,PackageNameMapper,1,0,20,12,46,34
org.apache.tools.ant.types.selectors.SelectorUtils,SelectorUtils,15,15,1004,449,683,234
org.apache.tools.ant.taskdefs.optional.Javah,Javah,29,30,466,260,465,205
org.apache.tools.ant.taskdefs.LoadFile,LoadFile,2,1,12,12,40,28
org.apache.tools.ant.taskdefs.condition.HasMethod,HasMethod,9,8,231,122,183,61
org.apache.tools.ant.taskdefs.WhichResource,WhichResource,7,6,214,110,182,72
org.apache.tools.ant.types.resources.Difference,Difference,1,0,82,41,67,26
org.apache.tools.ant.taskdefs.optional.sound.AntSoundPlayer,AntSoundPlayer,11,10,230,142,241,99
org.apache.tools.ant.taskdefs.optional.j2ee.GenericHotDeploymentTool,GenericHotDeploymentTool,9,6,94,59,140,81
org.apache.tools.ant.util.facade.ImplementationSpecificArgument,ImplementationSpecificArgument,3,2,25,24,61,37
org.apache.tools.ant.taskdefs.Move,Move,1,0,791,283,386,103
org.apache.tools.ant.taskdefs.condition.Equals,Equals,6,5,74,41,88,47
org.apache.tools.ant.types.Comparison,Comparison,4,2,185,49,95,46
org.apache.tools.ant.taskdefs.optional.junit.JUnitTaskMirrorImpl,JUnitTaskMirrorImpl,4,5,56,72,106,34
org.apache.tools.ant.IntrospectionHelper,IntrospectionHelper,24,35,2098,919,1477,558
org.apache.tools.ant.taskdefs.XSLTLoggerAware,XSLTLoggerAware,1,0,1,6,31,25
org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask,ChangeLogTask,10,9,498,261,419,158
org.apache.tools.ant.taskdefs.optional.depend.constantpool.FieldRefCPInfo,FieldRefCPInfo,7,6,108,68,130,62
